temp_avr,temp_max,temp_min,pres,u,v,prec,datetime,Budateteny,Csepel,Erzsebet,Gergely,Gilice,Honved,Kaposztas,Korakas,Kosztolanyi,Pesthidegkut,Szena,Teleki
-3.1857142857142855,-1.9,-4.6,1020.3606914666667,0.9638063518634309,1.0411200804557452,0.0,2011-01-01,83.0,58.0,75.0,55.0,73.0,65.0,62.0,76.0,68.0,61.0,78.0,69.0
-1.2124999999999997,2.7,-4.7,1017.91644765,1.500336329188968,-0.015489772543313473,0.0,2011-01-02,37.0,29.0,35.0,24.0,36.0,28.0,21.0,35.0,32.0,25.0,33.0,35.0
-4.5125,-1.9,-7.7,1022.3827477149999,-0.4267766952966369,-0.4619397662556435,0.0,2011-01-03,46.0,34.0,47.0,26.0,39.0,44.0,35.0,47.0,42.0,31.0,46.0,45.0
-4.4624999999999995,-3.5,-5.5,1025.8157992575,-0.12894126625100072,1.0725917227504582,0.0,2011-01-04,38.0,28.0,44.0,22.0,27.0,38.0,34.0,43.0,40.0,42.0,46.0,42.0
-4.8,-4.3,-5.5,1025.59915037375,-1.8413581467525577,1.456059121716008,0.0,2011-01-05,37.0,29.0,40.0,23.0,33.0,33.0,31.0,37.0,34.0,37.0,43.0,37.0
-3.5749999999999997,-0.7,-6.5,1022.5327354037499,-2.1101712862440127,0.5116246986160904,0.0,2011-01-06,55.0,42.0,59.0,38.0,49.0,53.0,49.0,55.0,53.0,61.0,63.0,54.0
1.3375000000000001,3.2,0.1,1021.2828379974999,-1.4883285858945534,-0.4690383321571847,0.0,2011-01-07,49.0,41.0,54.0,33.0,46.0,46.0,40.0,51.0,49.0,55.0,54.0,51.0
2.45,5.0,1.1,1019.9329487987499,-0.9526416852002773,-1.318910593364648,0.0,2011-01-08,48.0,42.0,55.0,34.0,46.0,49.0,46.0,54.0,47.0,60.0,55.0,52.0
1.35,3.0,-0.7,1020.1162670849998,-1.1323587027667317,-0.6233674740659123,0.0,2011-01-09,54.0,46.0,61.0,39.0,48.0,57.0,49.0,60.0,53.0,59.0,61.0,59.0
2.2875,3.8,0.5,1021.3494991924999,-0.22067085809127235,-0.7827465784244586,0.0,2011-01-10,40.0,31.0,49.0,29.0,38.0,45.0,36.0,48.0,45.0,38.0,47.0,45.0
4.0125,4.9,3.0,1018.06643533875,-1.5735596338923312,-0.31300047199059167,0.1,2011-01-11,47.0,39.0,53.0,32.0,41.0,51.0,39.0,49.0,48.0,46.0,55.0,49.0
4.575,6.9,2.5,1017.8664517537501,1.216881976487827,-0.947392622613547,5.0,2011-01-12,34.0,26.0,36.0,21.0,30.0,29.0,25.0,35.0,32.0,30.0,40.0,31.0
3.1375,4.9,1.3,1016.3332442687498,1.3187266488232352,1.2407781112684115,1.0,2011-01-13,40.0,24.0,38.0,24.0,26.0,34.0,21.0,35.0,29.0,25.0,33.0,36.0
